Wall time,Step,Value
1720920853.770587,4511000,59408.203125
1720920893.6690712,4513000,59395.77734375
1720921098.836979,4523000,59512.7109375
1720921159.5331898,4526000,59890.73828125
1720945093.897156,4531000,59877.1328125
1720945145.7741592,4534000,59863.140625
1720945181.1436632,4536000,59776.0234375
1720945216.577226,4538000,59847.36328125
1720945428.192435,4550000,57553.34375
1720945729.1267571,4567000,54922.8359375
1720945995.722931,4582000,55096.5859375
1720946103.6561549,4588000,55165.30859375
1720946222.6903858,4595000,53962.4921875
1720946364.879692,4603000,54187.41796875
1720946434.165704,4607000,54247.74609375
1720946557.03749,4614000,52514.97265625
1720946575.4086678,4615000,52511.12109375
1720946594.586617,4616000,52554.13671875
1720946792.9380312,4626000,50652.671875
1720947208.099092,4647000,52695.76953125
1720947308.035022,4652000,52602.73046875
1720947404.549458,4657000,54716.3671875
1720947519.9479291,4663000,54270.921875
1720947711.901653,4673000,53000.25
1720947807.595934,4678000,53070.2578125
1720947925.2846131,4684000,53144.828125
1720948006.7493062,4688000,54024.0546875
1720948026.369657,4689000,54028.75
